1000,Airbnb,Book accommodations around the world.,"San Francisco, CA, USA","W09,Consumer,Travel, Leisure and Tourism"
1001,Amplitude,Digital Analytics Platform,"San Francisco, CA, USA","W12,B2B,Analytics"
1002,Coinbase,"Buy, sell, and manage cryptocurrencies.","San Francisco, CA, USA","S12,Fintech,Banking and Exchange"
1003,DoorDash,Restaurant delivery.,"San Francisco, CA, USA","S13,Consumer,Food and Beverage"
1004,Dropbox,Backup and share files in the cloud.,"San Francisco, CA, USA","S07,B2B,Productivity"
1005,Ginkgo Bioworks,Our mission is to make biology easier to engineer.,"Boston, MA, USA","S14,Healthcare,Industrial Bio"
1006,GitLab,A complete DevOps platform delivered as a single application.,"San Francisco, CA, USA","W15,B2B,Engineering, Product and Design"
1007,Instacart,Marketplace for grocery delivery and pickup,"San Francisco, CA, USA","S12,Consumer,Food and Beverage"
1008,Momentus,The space infrastructure services company,"Santa Clara, CA, USA","S18,Industrials,Aviation and Space"
1009,Notable Labs,Personalized drug discovery for blood cancer.,"Foster City, CA, USA","W15,Healthcare,Diagnostics"
1010,PagerDuty,Real-time visibility into critical apps and services all in one place.,"San Francisco, CA, USA","S10,B2B,Engineering, Product and Design"
1011,Pardes Biosciences,We break viruses,"San Francisco, CA, USA","S20,Healthcare,Drug Discovery and Delivery"
1012,Presto,Digital meets physical for big chain restaurants,"San Carlos, CA, USA","S10,B2B,Retail"
1013,Rigetti Computing,Quantum coherent supercomputing.,"Berkeley, CA, USA","S14,Industrials,Manufacturing and Robotics"
1014,Weave,Customer communication and payments platform.,"Lehi, UT, USA","W14,B2B,Office Management"
1015,Oklo,"Emission free, always on power from advanced fission power plants.","Santa Clara, CA, USA","S14,Industrials,Energy"
1016,Matterport,Turn physical objects and environments into 3D models in seconds.,"Sunnyvale, CA, USA","W12,Consumer,Virtual and Augmented Reality"
1017,Embark Trucks,Self-driving semi trucks.,"San Francisco, CA, USA","W16,Industrials,Automotive"
1018,Lucira Health,Next generation infectious disease test kits,"Emeryville, CA, USA","W15,Healthcare,Diagnostics"
1019,Segment,"Software and APIs to collect, clean, and control customer data.","San Francisco, CA, USA","S11,B2B,Analytics"
1020,Algolia,A developer-friendly and enterprise-grade search API.,"San Francisco, CA, USA","W14,B2B,Engineering, Product and Design"
1021,Truebill,Live your best financial life,"Silver Spring, MD, USA","W16,Fintech,Consumer Finance"
1022,Twitch,A global community creating the future of live entertainment.,"San Francisco, CA, USA","W07,Consumer,Content"
1023,PlanGrid,Mobile applications for the construction industry.,"San Francisco, CA, USA","W12,Real Estate and Construction,Construction"
1024,Bellabeat,Tech-powered women's wellness.,"San Francisco, CA, USA","W14,Consumer,Consumer Electronics"
1025,Cruise,Self-driving cars.,"San Francisco, CA, USA","W14,Industrials,Automotive"
1026,Benchling,Unlocking the power of biotech with modern software for modern science,"San Francisco, CA, USA","S12,B2B"
1027,Casetext,We make the world's laws free and understandable. ,"San Francisco, CA, USA","S13,B2B,Legal"
1028,Bird,The world’s largest omnichannel communications platform,"Amsterdam, NH, Netherlands","S16,B2B,Engineering, Product and Design"
1029,Brex,"Business accounts, corporate cards, and spend management software.","San Francisco, CA, USA","W17,Fintech,Banking and Exchange"
1030,The Athletic,Subscription sports media.,"San Francisco, CA, USA","S16,Consumer,Content"
1031,Codecademy,The leading online learning platform for technical skills.,"New York, NY, USA","S11,Education"
1032,Checkr,People infrastructure for the future of work,"San Francisco, CA, USA","S14,B2B,Human Resources"
1033,Lever,Talent Acquisition Suite that combines ATS + Talent CRM,"San Francisco, CA, USA","S12,B2B,Recruiting and Talent"
1034,Clipboard Health,Connects healthcare facilities with nurses nearby.,Remote,"W17,Healthcare,Healthcare Services"
1035,Heap,Captures user interactions with no code to generate analytics.,"San Francisco, CA, USA","W13,B2B,Analytics"
1036,Sendwave,"Instant, no fee international remittances.","Boston, MA, USA","W12,Fintech,Payments"
1037,Deel,The all-in-one HR and payroll platform for global teams,"San Francisco, CA, USA","W19,B2B,Finance and Accounting"
1038,Clever,The platform that powers technology in the classroom.,"San Francisco, CA, USA","S12,Education"
1039,Caper,Plug-and-play cashier-less retail powered by computer vision and AI,"","W16,B2B,Retail"
1040,EquipmentShare,Cloud solutions for the construction industry.,"Columbia, MO, USA","W15,Real Estate and Construction,Construction"
1041,Reddit,The frontpage of the internet.,"San Francisco, CA, USA","S05,Consumer,Content"
1042,Fivestars,Customer loyalty and payments platform for small businesses.,"San Francisco, CA, USA","W11,B2B,Retail"
1043,Machine Zone,Pioneers of mobile social gaming.,"Palo Alto, CA, USA","W08,Consumer,Gaming"
1044,Faire,The global online platform empowering independent retail.,"San Francisco, CA, USA","W17,B2B,Retail"
1045,Fivetran,The leader in automated data movement,"Oakland, CA, USA","W13,B2B,Infrastructure"
1046,Optimizely,The first all-in-one operating system for marketing,"San Francisco, CA, USA","W10,B2B,Engineering, Product and Design"
1047,Flexport,Platform for global logistics.,"San Francisco, CA, USA","W14,B2B,Supply Chain and Logistics"
1048,WePay,Payments for platform businesses.,"Redwood City, CA, USA","S09,Fintech,Payments"
1049,Weebly,Build a free website that grows with your business.,"San Francisco, CA, USA","W07,B2B,Marketing"
1050,Flock Safety,The first public safety operating system that eliminates crime.,"Atlanta, GA, USA","S17,B2B,Engineering, Product and Design"
1051,Sqreen,Sqreen is the application security platform for the modern enterprise,"San Francisco, CA, USA","W18,B2B,Security"
1052,NURX,"Medicine or testing kit, prescribed online and delivered to your door.","New York, NY, USA","W16,Healthcare,Consumer Health and Wellness"
1053,Go1,A learning platform that enables you to train your staff or customers.,"San Francisco, CA, USA","S15,B2B,Human Resources"
1054,CoreOS,Open source tools of modern distributed systems.,"San Francisco, CA, USA","S13,B2B,Infrastructure"
1055,Bear Flag Robotics,Autonomous driving technology for farm tractors.,"Newark, CA, USA","W18,Industrials,Agriculture"
1056,GOAT Group,"Platform for the greatest products from the past, present and future.","Los Angeles, CA, USA","W11,Consumer,Apparel and Cosmetics"
1057,Heroku,Enabling developers to build and run applications in the cloud.,"San Francisco, CA, USA","W08,B2B,Infrastructure"
1058,Groww,"Making financial services simple, transparent and delightful. ","Bengaluru, KA, India","W18,Fintech"
1059,GrubMarket,AI-powered technology enabler and digital transformer of American…,"San Francisco, CA, USA","W15,B2B,Supply Chain and Logistics"
1060,HelloSign,eSignature software for small and mid-market businesses.,"San Francisco, CA, USA","W11,B2B,Productivity"
1061,Zenefits,"HR for small businesses: onboarding, payroll and benefits.","San Francisco, CA, USA","W13,B2B,Human Resources"
1062,Gusto,Provides growing businesses with everything to take care of their team,"San Francisco, CA, USA","W12,B2B,Human Resources"
1063,Honeylove,Honeylove makes functional undergarments for women,"Los Angeles, CA, USA","S18,Consumer,Apparel and Cosmetics"
1064,Modern Fertility,At-home fertility test for women who aren't ready for kids right now…,"San Francisco, CA, USA","S17,Healthcare,Consumer Health and Wellness"
1065,Cognito,"Frictionless, modern identity verification that starts with just a…","Palo Alto, CA, USA","S14,B2B,Engineering, Product and Design"
1066,OpenInvest,Values based personalization at scale for asset and wealth management,"San Francisco, CA, USA","S15,Fintech"
1067,Meesho,Democratizing internet commerce for everyone in India,"Bengaluru, KA, India","S16,B2B,Retail"
1068,Mixpanel,Mixpanel is event analytics for builders that need answers.,"San Francisco, CA, USA","S09,B2B,Analytics"
1069,Paystack,Modern payments infrastructure for Africa,"Lagos, LA, Nigeria","W16,Fintech,Payments"
1070,Moxion Power Co.,Mobile Energy Storage Technology,"Richmond, CA, USA","W21,Industrials,Energy"
1071,DrChrono,The essential platform for modern medical practices and patients.,"CA, USA","W11,Healthcare,Healthcare IT"
1072,OMGPop,An independent flash game studio.,"New York, NY, USA","S06,Consumer,Gaming"
1073,Newfront,Modern insurance brokerage.,"San Francisco, CA, USA","W18,Fintech,Insurance"
1074,North,Wearable computing hardware: biosignal gesture recognition,"Kitchener, ON, Canada","W13,Consumer,Virtual and Augmented Reality"
1075,Nowports,The core engine of supply chain in LATAM,"","W19,B2B,Supply Chain and Logistics"
1076,Odeko,Our operations software makes it easier to run--and grow--your cafe,"New York, NY, USA","S19,B2B"
1077,GitPrime,Visibility and analytics for software development leaders.,"Durango, CO, USA","W16,B2B,Engineering, Product and Design"
1078,Proxy,Smart ring digital wallet,"San Francisco, CA, USA","S16,Consumer,Consumer Electronics"
1079,FutureAdvisor,The online financial management service for everyone.,"San Francisco, CA, USA","S10,Fintech,Consumer Finance"
1080,Podium,Get more leads. Make more money. ,"Lehi, UT, USA","W16,B2B,Retail"
1081,Rappi,On-demand delivery and financial services for Latin America.,"Bogotá, Bogota, Colombia","W16,Consumer,Food and Beverage"
1082,Razorpay,India's only full-stack financial solutions company for businesses.,"Bengaluru, KA, India","W15,Fintech,Payments"
1083,Rippling,"One place to run all your HR, IT, and Finance. Globally.","San Francisco, CA, USA","W17,B2B,Human Resources"
1084,Scale AI,Data-centric infrastructure to accelerate the development of AI ,"San Francisco, CA, USA","S16,B2B,Engineering, Product and Design"
1085,Scentbird,Scentbird is a luxury fragrance subscription service.,"New York, NY, USA","S15,Consumer,Apparel and Cosmetics"
1086,Scribd,World's largest online library.,"San Francisco, CA, USA","S06,Consumer,Content"
1087,ShipBob,Providing Amazon level logistics to e-commerce businesses. ,"Chicago, IL, USA","S14,B2B,Supply Chain and Logistics"
1088,SmartAsset,Marketplace connecting consumers to financial advisors,"New York, NY, USA","S12,Fintech,Consumer Finance"
1089,Stripe,Economic infrastructure for the internet.,"San Francisco, CA, USA","S09,Fintech"
1090,Wave,Mobile money app for Africa,"Dakar, Dakar Region, Senegal","W12,Fintech,Payments"
1091,Webflow,Professional website design and publishing platform. ,"San Francisco, CA, USA","S13,B2B,Marketing"
1092,Whatnot,Whatnot is the largest livestream shopping platform in the U.S.,"Los Angeles, CA, USA","W20,Consumer"
1093,Zapier,The easiest way to automate your work.,"Mountain View, CA, USA","S12,B2B,Productivity"
1094,Zepto,10-Minute Grocery Delivery in India,"MH, India","W21,Consumer,Food and Beverage"
1095,Focal Systems,Building the Operating System for B&M Retail using Deep Learning,"New York, NY, USA","W16,B2B,Retail"
1096,Mio,Mio powers seamless communication between workplace chat apps.,"Austin, TX, USA","W16,B2B,Engineering, Product and Design"
1097,Daily,Conversational Voice and Multimodal AI built with Open Source ,"San Francisco, CA, USA","W16,B2B,Productivity"
1098,Petcube,Petcube is on the mission to improve lives of pets and pet owners…,"San Francisco, CA, USA","W16,Consumer,Consumer Electronics"
1099,Outschool,A live online learning platform that empowers kids ages 3–18.,"San Francisco, CA, USA","W16,Education"
